question_id,category,question,ground_truth,vector_answer,graph_answer,vector_retrieval_latency,graph_retrieval_latency,vector_generation_latency,graph_generation_latency,vector_total_latency,graph_total_latency,vector_error,graph_error,vector_num_chunks,graph_num_entities,graph_num_relationships
1,fact_lookup,What is the address of Finance Finland?,"Itamerenkatu 11-13, FI-00180 Helsinki, Finland.","

Based on the provided context, the address of Finance Finland is Itämerenkatu 11-13, FI-00180 Helsinki, Finland [Page 2, Page 3].","

I don't know the answer.",1.279,103.98,38.172,103.98,39.451,103.98,,,5,0,0
2,fact_lookup,What is the phone number for Finance Finland?,+358 20 793 9000,"

The phone number for Finance Finland is +358 20 793 4200 [Page 2], [Page 3].","

I'm sorry, but I don't know the answer.",0.113,141.453,28.441,141.453,28.553,141.453,,,5,0,0
3,fact_lookup,Who published the ISO 20022 Payments Guide?,Finance Finland (Finanssiala ry).,"

I don't know the answer based on the provided context. The provided text snippets from the ""ISO 20022 Payments Guide"" (Pages 1, 26, 46, 47, 48) contain the title, date, and technical field structures, but they do not explicitly state the name of the organization or entity that published the guide.",,0.117,1236.989,92.748,1236.989,92.865,1236.989,,Error executing query: HF Router request failed: The read operation timed out,5,0,0
4,fact_lookup,How many pages does the ISO 20022 Payments Guide have?,61 pages.,"

Based on the headers provided in the context, the ISO 20022 Payments Guide has 61 pages. This is indicated by the page numbering format ""X (61)"" found on multiple pages [Page 24], [Page 25], [Page 46], [Page 47].",,0.135,52.338,28.748,52.338,28.884,52.338,,Error executing query: HF Router request failed: [WinError 10054] An existing connection was forcibly closed by the remote host,5,0,0
5,fact_lookup,What is the version number of the guide?,Version 3.1.,,,0.135,0.005,97.563,0.005,97.698,0.005,,Error executing query: HF Router request failed: <urlopen error [Errno 11001] getaddrinfo failed>,5,0,0
6,fact_lookup,What is the publication year of the ISO 20022 Payments Guide?,2025.,"

The publication year of the ISO 20022 Payments Guide is 2025 [Page 1], [Page 26], [Page 46], [Page 47], [Page 48].",,0.139,0.003,23.906,0.003,24.045,0.003,,Error executing query: HF Router request failed: <urlopen error [Errno 11001] getaddrinfo failed>,5,0,0
7,fact_lookup,What is the email address for Finance Finland payments team?,payments@finanssiala.fi,"

I don't know. The provided context does not contain an email address for the Finance Finland payments team.",,0.105,0.002,28.885,0.002,28.991,0.002,,Error executing query: HF Router request failed: <urlopen error [Errno 11001] getaddrinfo failed>,5,0,0
8,fact_lookup,What is the ISO 20022 website provided by Finance Finland?,www.finanssiala.fi/iso20022,"

Based on the provided context, the website listed in the header of the ISO 20022 Payments Guide by Finance Finland is www.financefinland.fi [Page 2].",,0.155,0.006,70.86,0.006,71.015,0.006,,Error executing query: HF Router request failed: <urlopen error [Errno 11001] getaddrinfo failed>,5,0,0
9,definition,What is ISO 20022?,ISO 20022 is an international standard for financial messaging.,"

I don't know. The provided context does not contain a definition or explanation of what ISO 20022 is. It only includes excerpts from an ""ISO 20022 Payments Guide"" [Page 1] detailing specific data elements and structures for messages such as ""Customer Credit Transfer Initiation V09"" [Page 25], [Page 26] and ""Customer Payment Status Report V10"" [Page 42], [Page 46].",,0.152,0.002,55.928,0.002,56.08,0.002,,Error executing query: HF Router request failed: <urlopen error [Errno 11001] getaddrinfo failed>,5,0,0
10,definition,What is a Group Header in ISO 20022 payment messages?,"Block A containing message identification, creation date, and number of transactions.","

Based on the provided ISO 20022 Payments Guide, the **Group Header** (Block A) contains the ID information of the payment message [Page 11].

The specific elements included in the Group Header vary depending on the message type:

*   **Customer Credit Transfer Initiation V09:** Includes Message Identification, Creation Date Time, Number Of Transactions, and Control Sum [Page 11].
*   **Customer Payment Status Report V10:** Includes the Initiating Party, Debtor Agent, and Creditor Agent [Page 40, Page 41].",,0.122,0.003,37.218,0.003,37.34,0.003,,Error executing query: HF Router request failed: <urlopen error [Errno 11001] getaddrinfo failed>,5,0,0
