question_id,category,question,ground_truth,vector_answer,graph_answer,vector_retrieval_latency,graph_retrieval_latency,vector_generation_latency,graph_generation_latency,vector_total_latency,graph_total_latency,vector_error,graph_error,vector_num_chunks,graph_num_entities,graph_num_relationships
1,fact_lookup,What is the address of Finance Finland?,"Itamerenkatu 11-13, FI-00180 Helsinki, Finland.","According to the provided context, the address of Finance Finland is:

Itämerenkatu 11-13 
FI-00180 Helsinki 
Fax: +358 20 793 4202 
Tel: +358 20 793 4200",I don't know the answer.,0.529,11.775,1.115,11.775,1.644,11.775,,,5,1,1
2,fact_lookup,What is the phone number for Finance Finland?,+358 20 793 9000,"According to the provided context, the phone number for Finance Finland is +358 20 793 4200. (Page 3)",I don't know the answer.,0.188,22.014,0.471,22.014,0.658,22.014,,,5,1,1
3,fact_lookup,Who published the ISO 20022 Payments Guide?,Finance Finland (Finanssiala ry).,"Unfortunately, the provided context does not mention the publisher of the ISO 20022 Payments Guide.",,0.186,17.406,0.314,17.406,0.5,17.406,,"Error executing query: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Variable `r` not defined (line 5, column 38 (offset: 362))
""RETURN n1.name, n1.description, type(r), n2.name, n2.description""
                                      ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}",5,0,0
4,fact_lookup,How many pages does the ISO 20022 Payments Guide have?,61 pages.,"Unfortunately, the provided context does not specify the total number of pages in the ISO 20022 Payments Guide. The page numbers provided in the context are only for specific sections or entries, but not for the overall document.",I don't know the answer.,0.214,5.629,14.53,5.629,14.745,5.629,,,5,0,0
5,fact_lookup,What is the version number of the guide?,Version 3.1.,"The version number of the guide is not explicitly mentioned in the provided context. However, it is mentioned that the guide was last updated on 18 June 2025 (Page 46).",I don't know the answer.,0.218,20.076,7.666,20.076,7.885,20.076,,,5,0,0
6,fact_lookup,What is the publication year of the ISO 20022 Payments Guide?,2025.,The publication year of the ISO 20022 Payments Guide is 2025.,I don't know the answer.,0.212,25.488,11.564,25.488,11.775,25.488,,,5,10,0
7,fact_lookup,What is the email address for Finance Finland payments team?,payments@finanssiala.fi,I don't know. The provided context does not contain any information about the email address for Finance Finland payments team.,I don't know the answer.,0.217,20.153,13.604,20.153,13.821,20.153,,,5,0,0
8,fact_lookup,What is the ISO 20022 website provided by Finance Finland?,www.finanssiala.fi/iso20022,The ISO 20022 website provided by Finance Finland is www.financefinland.fi.,,0.227,18.07,9.488,18.07,9.715,18.07,,"Error executing query: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'OR': expected ')' or 'WHERE' (line 1, column 56 (offset: 55))
""MATCH (n1:Entity {canonical_name: ""ISO 20022 website""} OR n1:Entity {name: ""ISO 20022 website""} OR n1:Entity {description: ""ISO 20022 website""})""
                                                        ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}",5,0,0
9,definition,What is ISO 20022?,ISO 20022 is an international standard for financial messaging.,"ISO 20022 is a standard for financial messaging, which provides a common language and framework for exchanging financial information between institutions. It is a widely adopted standard for financial messaging, used for various financial transactions, including payments, credit transfers, and more.

Source: Page 1 of the provided context.",ISO 20022 is an International standard for payment messaging.,0.184,27.429,11.603,27.429,11.787,27.429,,,5,4,6
10,definition,What is a Group Header in ISO 20022 payment messages?,"Block A containing message identification, creation date, and number of transactions.","According to the provided context, a Group Header in ISO 20022 payment messages is defined on page 11 as ""Group Header (Block A) contains the ID information of the payment message."" (Page 11)

It is further specified that the Group Header contains the following elements:

- Message Identification (Page 11, 1.1)
- Creation Date Time (Page 11, 1.2)
- Number Of Transactions (Page 11, 1.4)
- Control Sum (Page 11, 1.5)

This information is part of the Customer Credit Transfer Initiation V09 message.",A Group Header in ISO 20022 payment messages is information about the Group Header.,0.214,27.024,12.902,27.024,13.116,27.024,,,5,0,10
